timestamp,round_expiry,S0,direction,time_to_expiry_secs,P_model,P_mkt_paid,EV,bet_size_USD,status,close_price,PnL_USD
2026-04-27T01:10:42.531023+00:00,2026-04-27T01:15:00+00:00,79158.27,DOWN,257.468977,0.8512323945760727,0.5780500347278862,0.2731823598481865,88.10572326183319,SOLD_OVERPRICED,79227.2248164657,-51.525198545155284
2026-04-27T01:10:12.408326+00:00,2026-04-27T01:15:00+00:00,79158.27,UP,287.591674,0.8590308427810669,0.6036615164385732,0.25536932634249365,161.8942767381668,SOLD_OVERPRICED,79179.477,-74.23846774359842
2026-04-27T01:13:18.167085+00:00,2026-04-27T01:15:00+00:00,79158.27,DOWN,101.832915,0.9749134946614504,0.6227195153978682,0.3521939792635822,200.0,WON,79142.0995663071,121.171884057971
2026-04-27T01:15:12.603938+00:00,2026-04-27T01:20:00+00:00,79142.0995663071,DOWN,287.396062,0.7356215119361877,0.57,0.1656215119361878,96.29157670708592,SOLD_LOCK_PROFIT,79022.34457481599,69.26236219281618
2026-04-27T01:20:07.687960+00:00,2026-04-27T01:25:00+00:00,79031.2,UP,292.31204,0.7400000095367432,0.5497674429604756,0.19023256657626753,108.69565735692562,SOLD_OVERPRICED,79044.47130683008,-16.84590667087957
2026-04-27T01:21:39.053946+00:00,2026-04-27T01:25:00+00:00,79031.2,UP,200.946054,0.8183783888816833,0.5269273811631218,0.2914510077185616,155.40541087587675,SOLD_OVERPRICED,79007.2497,-40.53941083045336
2026-04-27T01:21:03.913980+00:00,2026-04-27T01:25:00+00:00,79031.2,DOWN,236.08602,0.6048415899276733,0.5,0.10484158992767334,52.42079496383667,SOLD_OVERPRICED,79007.2497,-6.900511294937132
2026-04-27T01:22:43.308711+00:00,2026-04-27T01:25:00+00:00,79031.2,UP,136.691289,0.8609884977340698,0.5692589998619013,0.2917294978721685,171.01619189435786,SOLD_OVERPRICED,79079.159,-57.92336933923917
2026-04-27T01:24:07.663916+00:00,2026-04-27T01:25:00+00:00,79031.2,DOWN,52.336084,0.9749134946614504,0.624566950649452,0.3503465440119984,200.0,LOST,79042.6764219593,-200.0
2026-04-27T01:35:13.040077+00:00,2026-04-27T01:40:00+00:00,78878.06995728004,UP,286.959923,0.8183783888816833,0.5512640211373663,0.26711436774431707,149.0991049342685,SOLD_LOCK_PROFIT,79009.64938,115.95922870070137
2026-04-27T01:35:43.157258+00:00,2026-04-27T01:40:00+00:00,78878.06995728004,DOWN,256.842742,0.8512323945760727,0.57,0.28123239457607274,100.9008950657315,LOST,79104.50534984107,-100.9008950657315
2026-04-27T01:40:08.040984+00:00,2026-04-27T01:45:00+00:00,79104.50534984107,DOWN,291.959016,0.9749134946614504,0.62917504337867,0.34573845128278036,200.0,WON,79068.63952,117.87656249999998
2026-04-27T01:40:38.177162+00:00,2026-04-27T01:45:00+00:00,79104.50534984107,UP,261.822838,0.9614417552947998,0.72,0.24144175529479983,50.0,LOST,79068.63952,-50.0
2026-04-27T01:45:10.271316+00:00,2026-04-27T01:50:00+00:00,79068.63952,UP,289.728684,0.8609884977340698,0.62,0.24098849773406983,158.54506429873013,WON,79350.67055,97.17278134438297
2026-04-27T01:45:40.393443+00:00,2026-04-27T01:50:00+00:00,79068.63952,UP,259.606557,0.9614417552947998,0.78,0.18144175529479978,91.45493570126987,WON,79350.67055,25.794981864460723
2026-04-27T01:50:12.040250+00:00,2026-04-27T01:55:00+00:00,79350.67055,DOWN,287.95975,0.6048415899276733,0.54,0.0648415899276733,35.23999452590941,SOLD_LOCK_PROFIT,79212.369,28.714069613703955
2026-04-27T01:50:42.166501+00:00,2026-04-27T01:55:00+00:00,79350.67055,DOWN,257.833499,0.999,0.7359156680423649,0.26308433195763514,200.0,SOLD_LOCK_PROFIT,79212.369,66.33486486486487
2026-04-27T01:55:11.055720+00:00,2026-04-27T02:00:00+00:00,79244.791,DOWN,288.94428,0.6048415899276733,0.52,0.08484158992767332,44.18832808732986,LOST,79296.81799129663,-44.18832808732986
2026-04-27T01:55:41.176673+00:00,2026-04-27T02:00:00+00:00,79244.791,DOWN,258.823327,0.999,0.6898396960369203,0.3091603039630797,200.0,LOST,79296.81799129663,-200.0
2026-04-27T02:00:15.323128+00:00,2026-04-27T02:05:00+00:00,79296.81799129663,UP,284.676872,0.5695364238410596,0.48999999999999994,0.07953642384105969,38.988443059342956,LOST,79209.22407293807,-38.988443059342956
2026-04-27T02:00:45.447920+00:00,2026-04-27T02:05:00+00:00,79296.81799129663,UP,254.55208,0.49999999999999994,0.4,0.09999999999999992,41.666666666666636,LOST,79209.22407293807,-41.666666666666636
2026-04-27T02:05:10.401183+00:00,2026-04-27T02:10:00+00:00,79209.22407293807,UP,289.598817,0.5196839850563792,0.43666961701301366,0.0830143680433656,39.33508116507862,LOST,79155.63534094006,-39.33508116507862
2026-04-27T02:05:51.572508+00:00,2026-04-27T02:10:00+00:00,79209.22407293807,UP,248.427492,0.37060702875399354,0.31,0.06060702875399354,21.959068389128095,LOST,79155.63534094006,-21.959068389128095
2026-04-27T02:10:08.591244+00:00,2026-04-27T02:15:00+00:00,79155.63534094006,UP,291.408756,0.52,0.47,0.050000000000000044,23.584905660377377,SOLD_LOCK_PROFIT,79207.728865,25.592131674026515
2026-04-27T02:10:43.754270+00:00,2026-04-27T02:15:00+00:00,79155.63534094006,DOWN,256.24573,0.7413793103448276,0.5861209769829561,0.15525833336187156,99.63913392141143,LOST,79196.4193633026,-99.63913392141143
2026-04-27T02:15:09.743515+00:00,2026-04-27T02:20:00+00:00,79196.4193633026,UP,290.256485,0.5873786407766989,0.48,0.1073786407766989,51.624346527259085,LOST,79189.24263,-51.624346527259085
2026-04-27T02:15:39.866863+00:00,2026-04-27T02:20:00+00:00,79196.4193633026,UP,260.133137,0.5873786407766989,0.51,0.07737864077669887,39.478898355458604,LOST,79189.24263,-39.478898355458604
